"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"352690683368308736","352669417592729600","176721126","","","2013-07-04 07:29:46 +0000","web","@labyrinth17 @Takabatake_Y @motoki_uzu 21時からでいいんじゃねー"
"352591251905839106","","","","","2013-07-04 00:54:39 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","真夏のゆゆ式（福山雅治でません）"
"352370561843859456","","","","","2013-07-03 10:17:43 +0000","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","逆求人イベントに参加してみたら想像以上に良かった | ヨーグルト大学情報学部現代メディアコンテンツ科 http://t.co/oNfCqIo705 すばらっ","http://buff.ly/12dhFlp"
"352355700837597184","","","","","2013-07-03 09:18:40 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","コーヒー飲まないと頭痛くなる。"
"352000457234841600","","","","","2013-07-02 09:47:03 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","グリーンスムージーはじめたい"
"351960631798284288","","","","","2013-07-02 07:08:48 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","意図せず運動不足型からやせ型に進化してて地味に嬉しい。 http://t.co/wgldgoQYct","http://twitter.com/takuti/status/351960631798284288/photo/1"
"351454919968043010","","","","","2013-06-30 21:39:17 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","ねむすぎぽよよん"
"351336461754314752","","","","","2013-06-30 13:48:34 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","さすがに5,6月は疲れましたわ(ヽ´ω`)"
"351327010536173568","","","","","2013-06-30 13:11:01 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","緊急事態！！！ http://t.co/HbPKTv8rx3","http://twitter.com/takuti/status/351327010536173568/photo/1"
"351313462397374464","","","350604321408315392","203143855","2013-06-30 12:17:11 +0000","<a href=""http://twicca.r246.jp/"" rel=""nofollow"">twicca</a>","RT @makkuro_megane: パンチングマシーンやった http://t.co/HmjZkUbbnB","http://twitter.com/makkuro_megane/status/350604321408315392/photo/1"
"351288546776195072","","","","","2013-06-30 10:38:10 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at ジュンク堂書店 池袋本店 (豊島区, 東京都) w/ 5 others http://t.co/q0jbr8N4Xq","http://4sq.com/15U7ep7"
"351266013096050689","","","","","2013-06-30 09:08:38 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ふむ http://t.co/zlKqYNqKxd","http://twitter.com/takuti/status/351266013096050689/photo/1"
"351201819164295168","","","","","2013-06-30 04:53:33 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 神田駅 (Kanda Sta.) (千代田区, 東京都) w/ 2 others http://t.co/aZPUv9VcqX","http://4sq.com/1aqKC6B"
"351162429507530752","","","","","2013-06-30 02:17:02 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at ゴーゴーカレー 六本木スタジアム - @gogo_curry (港区, 東京都) http://t.co/PKk2qMwQ5o","http://4sq.com/14i1J5G"
"351132626591031296","","","","","2013-06-30 00:18:36 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 六本木駅 (Roppongi Sta.) (港区, 東京都) http://t.co/leqjs94iuz","http://4sq.com/18nvw0Z"
"351124319914577920","","","","","2013-06-29 23:45:36 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at 森下駅 (Morishita Sta.) (江東区, 東京都) http://t.co/fSGyr3V2up","http://4sq.com/15SMqhI"
"350960716343308288","","","","","2013-06-29 12:55:29 +0000","<a href=""http://foursquare.com"" rel=""nofollow"">foursquare</a>","I'm at ナンクルナイサ きばいやんせー 森下店 http://t.co/9TxCzL1P77","http://4sq.com/13dQRJe"
"350868902324076544","","","","","2013-06-29 06:50:39 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","「""国の""セキュリティ人材育成合宿」"
"350868837719212032","","","","","2013-06-29 06:50:24 +0000","<a href=""http://srsb.increal.jp"" rel=""nofollow"">さらそば岬</a>","セプキャンを知らない人に簡潔に説明する時みなさんどうしてますか"
